stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,level_id
000011407925,NA,Montabaur Schulzentrum,NA,50.440791,7.816385,0,NA,0,NA,NA
000011407926,NA,Montabaur Schulzentrum,NA,50.440894,7.816151,0,NA,0,NA,NA
000011407927,NA,Montabaur Schulzentrum,NA,50.440952,7.815927,0,NA,0,NA,NA
000011407928,NA,Montabaur Schulzentrum,NA,50.441123,7.815568,0,NA,0,NA,NA
000011407930,NA,Montabaur Schulzentrum,NA,50.44074,7.816286,0,NA,0,NA,NA
000011413505,NA,Mündersbach Winfried-Himmerich-Platz,NA,50.605981,7.731261,0,NA,0,NA,NA
000011417508,NA,Nauort Friedhof,NA,50.468039,7.620462,0,NA,0,NA,NA
000011417708,NA,Nauort Im Hahn,NA,50.464414,7.631557,0,NA,0,NA,NA
000011417808,NA,Nauort Weiherplatz,NA,50.466312,7.623687,0,NA,0,NA,NA
000011418205,NA,Nentershausen (Westerw) Grundschule,NA,50.418439,7.938906,0,NA,0,NA,NA
000011418305,NA,Nentershausen (Westerw) Realschule plus A,NA,50.419595,7.939086,0,NA,0,NA,NA
000011419603,NA,Neuhäusel Augst-Schule,NA,50.378951,7.713797,0,NA,0,NA,NA
000011426014,NA,Neuwied Niederbieber Schulzentrum,NA,50.466021,7.468378,0,NA,0,NA,NA
000011426206,NA,Neuwied Stadion,NA,50.437519,7.466545,0,NA,0,NA,NA
000011429603,NA,Niederelbert Oberdorf,NA,50.406418,7.812828,0,NA,0,NA,NA
000011429707,NA,Niederelbert Rathaus,NA,50.408696,7.811507,0,NA,0,NA,NA
000011432004,NA,Mendig Niedermendig Jahnstraße,NA,50.373045,7.282184,0,NA,0,NA,NA
000011432106,NA,Mendig Niedermendig Alte Post,NA,50.37089,7.283388,0,NA,0,NA,NA
000011432306,NA,Mendig Niedermendig Zum letzten Heller,NA,50.374271,7.272204,0,NA,0,NA,NA
000011435605,NA,Nister Dorfwiese,NA,50.674265,7.832402,0,NA,0,NA,NA
000011436906,NA,Nomborn Brunnen,NA,50.427333,7.913223,0,NA,0,NA,NA
000011437307,NA,Nordhofen Bahnhofstraße,NA,50.515822,7.753296,0,NA,0,NA,NA
000011440303,NA,"Oberelz, Oberdorf",NA,50.263069,7.051685,0,NA,0,NA,NA
000011440304,NA,"Oberelz, Oberdorf",NA,50.263144,7.051514,0,NA,0,NA,NA
000011440403,NA,"Oberelz, Gemeindehaus",NA,50.267025,7.050859,0,NA,0,NA,NA
000011440404,NA,"Oberelz, Gemeindehaus",NA,50.267106,7.050724,0,NA,0,NA,NA
000011452106,NA,Plaidt Am Kürchen,NA,50.39193,7.39618,0,NA,0,NA,NA
000011452306,NA,Plaidt Bahnhofstraße,NA,50.394376,7.390997,0,NA,0,NA,NA
000011452506,NA,Plaidt Miesenheimer Straße/IGS,NA,50.395046,7.402423,0,NA,0,NA,NA
000011457007,NA,Quirnbach Feuerwehr,NA,50.519123,7.795571,0,NA,0,NA,NA
000011457407,NA,Ransbach-Baumbach St. Markus,NA,50.468828,7.732195,0,NA,0,NA,NA
000011457508,NA,Ransbach-Baumbach Volksbank,NA,50.467033,7.72676,0,NA,0,NA,NA
000011458302,NA,Bendorf (Rhein) Sayn Alte Wattefabrik,NA,50.460462,7.577685,0,NA,0,NA,NA
000011458905,NA,Montabaur Reckenthal Ortsmitte,NA,50.417083,7.867382,0,NA,0,NA,NA
